county,label,cent_lat,cent_long
LARIMER,Larimer,40.6664135,-105.4611555
LAS ANIMAS,Las Animas,37.31585081,-104.0387164
FREMONT,Fremont,38.47297246,-105.4396571
GUNNISON,Gunnison,38.66679771,-107.0317001
CONEJOS,Conejos,37.20069644,-106.1916286
EAGLE,Eagle,39.62782565,-106.6952992
OTERO,Otero,37.90270172,-103.7164457
LA PLATA,La Plata,37.28655819,-107.8433355
SUMMIT,Summit,39.63417045,-106.116379
CUSTER,Custer,38.1086779,-105.3674718
PITKIN,Pitkin,39.21710577,-106.9165778
CROWLEY,Crowley,38.32666107,-103.7848257
CHEYENNE,Cheyenne,38.82793972,-102.6033958
BENT,Bent,37.95508557,-103.0717046
ADAMS,Adams,39.87363358,-104.3379352
ELBERT,Elbert,39.28656012,-104.1358916
YUMA,Yuma,40.00289933,-102.4242263
LAKE,Lake,39.20237947,-106.3448377
DELTA,Delta,38.86137377,-107.8628769
COSTILLA,Costilla,37.27809648,-105.4282694
GARFIELD,Garfield,39.59930662,-107.9039537
MORGAN,Morgan,40.26270701,-103.8098213
PROWERS,Prowers,37.9551832,-102.393349
MONTEZUMA,Montezuma,37.33841377,-108.596713
MINERAL,Mineral,37.66899568,-106.9240946
LINCOLN,Lincoln,38.98806854,-103.5139654
JEFFERSON,Jefferson,39.58642248,-105.2504722
RIO BLANCO,Rio Blanco,39.97984112,-108.2172083
SEDGWICK,Sedgwick,40.87590497,-102.3517912
SAN MIGUEL,San Miguel,38.00374472,-108.4058462
ALAMOSA,Alamosa,37.57289245,-105.7882866
PHILLIPS,Phillips,40.59388432,-102.3575796
OURAY,Ouray,38.15549724,-107.7693169
MESA,Mesa,39.01827889,-108.4664507
SAGUACHE,Saguache,38.08055272,-106.2815555
DOUGLAS,Douglas,39.32972342,-104.9295608
DOLORES,Dolores,37.75159771,-108.5172212
RIO GRANDE,Rio Grande,37.58252275,-106.3832105
PUEBLO,Pueblo,38.17342388,-104.5128468
KIT CARSON,Kit Carson,39.30544133,-102.6028874
BACA,Baca,37.31918311,-102.5604692
GRAND,Grand,40.10261493,-106.1183583
LOGAN,Logan,40.72467811,-103.1101028
CLEAR CREEK,Clear Creek,39.6891024,-105.644359
MOFFAT,Moffat,40.61842519,-108.2072983
TELLER,Teller,38.88217207,-105.1618264
BOULDER,Boulder,40.09247392,-105.357742
KIOWA,Kiowa,38.4326824,-102.7403582
CHAFFEE,Chaffee,38.74690309,-106.1940667
HINSDALE,Hinsdale,37.82134158,-107.3003118
JACKSON,Jackson,40.66643269,-106.3427947
WELD,Weld,40.55483961,-104.3925254
SAN JUAN,San Juan,37.76404317,-107.6761472
MONTROSE,Montrose,38.40218471,-108.2693558
BROOMFIELD,Broomfield,39.95418092,-105.0527982
WASHINGTON,Washington,39.97106179,-103.2012529
ROUTT,Routt,40.48506795,-106.9911932
ARCHULETA,Archuleta,37.19359631,-107.0483293
GILPIN,Gilpin,39.85755813,-105.5225315
DENVER,Denver,39.76202838,-104.8763653
PARK,Park,39.11930278,-105.7171746
EL PASO,El Paso,38.83209272,-104.5255833
ARAPAHOE,Arapahoe,39.64977249,-104.339219
HUERFANO,Huerfano,37.68467964,-104.9605845
